annotation_id,annotator,choice,created_at,id,image,lead_time,updated_at
15,1,Forward,2026-04-08T16:57:47.621489Z,15,/data/upload/1/9fbe8a80-Photo_Mar_25_2026_1_12_38_PM_3_1.jpg,1.247,2026-04-08T16:57:47.621489Z
16,1,Forward,2026-04-08T16:57:50.451401Z,16,/data/upload/1/5342507a-Photo_Mar_25_2026_1_12_38_PM_3.jpg,1.545,2026-04-08T16:57:50.451401Z
17,1,Forward,2026-04-08T16:57:53.851913Z,17,/data/upload/1/372d4004-Photo_Mar_25_2026_1_12_38_PM_4.jpg,1.323,2026-04-08T16:57:53.851913Z
18,1,Forward,2026-04-08T16:57:56.833120Z,18,/data/upload/1/abba817a-Photo_Mar_25_2026_1_12_38_PM_5.jpg,1.571,2026-04-08T16:57:56.833120Z
19,1,Forward,2026-04-08T16:57:59.585848Z,19,/data/upload/1/94576e01-Photo_Mar_25_2026_1_12_38_PM_6.jpg,1.313,2026-04-08T16:57:59.585848Z
20,1,Forward,2026-04-08T16:58:03.555001Z,20,/data/upload/1/f6e69950-Photo_Mar_25_2026_1_12_38_PM_7_1.jpg,1.578,2026-04-08T16:58:03.555001Z
21,1,Forward,2026-04-08T16:58:08.397545Z,21,/data/upload/1/3782543d-Photo_Mar_25_2026_1_12_38_PM_7.jpg,1.961,2026-04-08T16:58:08.397545Z
22,1,Forward,2026-04-08T16:58:11.093889Z,22,/data/upload/1/7ac8468b-Photo_Mar_25_2026_1_12_38_PM.jpg,1.492,2026-04-08T16:58:11.093889Z
23,1,Forward,2026-04-08T16:58:16.039189Z,23,/data/upload/1/60265227-Photo_Mar_25_2026_1_12_36_PM_1.jpg,2.206,2026-04-08T16:58:16.039189Z
24,1,Forward,2026-04-08T16:58:19.093834Z,24,/data/upload/1/3c42469e-Photo_Mar_25_2026_1_12_36_PM_2_1.jpg,1.662,2026-04-08T16:58:19.093834Z
25,1,Forward,2026-04-08T16:58:22.440692Z,25,/data/upload/1/8356948a-Photo_Mar_25_2026_1_12_40_PM_3.jpg,2.013,2026-04-08T16:58:22.440692Z
26,1,Forward,2026-04-08T16:58:25.651576Z,26,/data/upload/1/b4b7a749-Photo_Mar_25_2026_1_12_40_PM_4_1.jpg,1.751,2026-04-08T16:58:25.651576Z
27,1,Forward,2026-04-08T16:58:28.361098Z,27,/data/upload/1/3e9b16de-Photo_Mar_25_2026_1_12_40_PM_4.jpg,1.445,2026-04-08T16:58:28.365911Z
28,1,Forward,2026-04-08T16:58:32.838983Z,28,/data/upload/1/19074abc-Photo_Mar_25_2026_1_12_40_PM_5_1.jpg,1.578,2026-04-08T16:58:32.838983Z
29,1,Forward,2026-04-08T16:58:35.554469Z,29,/data/upload/1/074dc3c4-Photo_Mar_25_2026_1_12_40_PM_5.jpg,1.663,2026-04-08T16:58:35.554469Z
30,1,Forward,2026-04-08T16:58:42.051492Z,30,/data/upload/1/d6e93d33-Photo_Mar_25_2026_1_12_40_PM.jpg,2.622,2026-04-08T16:58:42.051492Z
31,1,Forward,2026-04-08T16:58:44.850753Z,31,/data/upload/1/7248318a-Photo_Mar_25_2026_1_12_41_PM_1.jpg,1.391,2026-04-08T16:58:44.850753Z
32,1,Forward,2026-04-08T16:58:48.115559Z,32,/data/upload/1/ff8d0c2e-Photo_Mar_25_2026_1_12_41_PM_2.jpg,1.793,2026-04-08T16:58:48.115559Z
33,1,Forward,2026-04-08T16:58:50.848527Z,33,/data/upload/1/d6deda43-Photo_Mar_25_2026_1_12_41_PM_3.jpg,1.603,2026-04-08T16:58:50.848527Z
34,1,Forward,2026-04-08T16:58:53.635536Z,34,/data/upload/1/480977f8-Photo_Mar_25_2026_1_12_41_PM_4.jpg,1.61,2026-04-08T16:58:53.635536Z
35,1,Forward,2026-04-08T16:58:56.511677Z,35,/data/upload/1/28cf2260-Photo_Mar_25_2026_1_12_39_PM_1.jpg,1.743,2026-04-08T16:58:56.511677Z
36,1,Forward,2026-04-08T16:58:59.160013Z,36,/data/upload/1/8ca55b1b-Photo_Mar_25_2026_1_12_39_PM_2.jpg,1.422,2026-04-08T16:58:59.160013Z
37,1,Forward,2026-04-08T16:59:01.929829Z,37,/data/upload/1/fbb44f36-Photo_Mar_25_2026_1_12_39_PM_3.jpg,1.244,2026-04-08T16:59:01.929829Z
38,1,Forward,2026-04-08T16:59:04.269198Z,38,/data/upload/1/6228e85a-Photo_Mar_25_2026_1_12_39_PM_4.jpg,1.2,2026-04-08T16:59:04.269198Z
39,1,Forward,2026-04-08T16:59:06.901668Z,39,/data/upload/1/bf3a9b7c-Photo_Mar_25_2026_1_12_39_PM_5_1.jpg,1.351,2026-04-08T16:59:06.901668Z
40,1,Forward,2026-04-08T16:59:10.584568Z,40,/data/upload/1/b9211ed3-Photo_Mar_25_2026_1_12_39_PM_5.jpg,1.119,2026-04-08T16:59:10.584568Z
41,1,Forward,2026-04-08T16:59:12.735654Z,41,/data/upload/1/a3d9f2c7-Photo_Mar_25_2026_1_12_39_PM_6_1.jpg,1.14,2026-04-08T16:59:12.735654Z
42,1,Forward,2026-04-08T16:59:15.361470Z,42,/data/upload/1/804f2638-Photo_Mar_25_2026_1_12_39_PM_6.jpg,1.476,2026-04-08T16:59:15.361470Z
43,1,Forward,2026-04-08T16:59:18.300205Z,43,/data/upload/1/62f8a301-Photo_Mar_25_2026_1_12_39_PM_7.jpg,1.404,2026-04-08T16:59:18.300205Z
44,1,Forward,2026-04-08T16:59:21.747621Z,44,/data/upload/1/914c409e-Photo_Mar_25_2026_1_12_39_PM.jpg,2.035,2026-04-08T16:59:21.747621Z
45,1,Forward,2026-04-08T16:59:33.267855Z,45,/data/upload/1/4eec58fb-Photo_Mar_25_2026_1_12_40_PM_1.jpg,1.654,2026-04-08T16:59:33.267855Z
46,1,Forward,2026-04-08T16:59:36.421016Z,46,/data/upload/1/c1180f1f-Photo_Mar_25_2026_1_12_40_PM_2_1.jpg,1.506,2026-04-08T16:59:36.421326Z
47,1,Forward,2026-04-08T16:59:39.741012Z,47,/data/upload/1/9caf929f-Photo_Mar_25_2026_1_12_40_PM_2.jpg,2.065,2026-04-08T16:59:39.741012Z
48,1,Forward,2026-04-08T16:59:44.933469Z,48,/data/upload/1/fb15fce7-Photo_Mar_25_2026_1_12_40_PM_3_1.jpg,3.709,2026-04-08T16:59:44.933469Z
49,1,Forward,2026-04-08T16:59:48.275303Z,49,/data/upload/1/1d182837-Photo_Mar_25_2026_1_12_42_PM_6.jpg,1.51,2026-04-08T16:59:48.275303Z
50,1,Forward,2026-04-08T16:59:51.413962Z,50,/data/upload/1/fb48f80c-Photo_Mar_25_2026_1_12_42_PM_7.jpg,1.815,2026-04-08T16:59:51.413962Z
51,1,Forward,2026-04-08T16:59:54.217726Z,51,/data/upload/1/4c05c818-Photo_Mar_25_2026_1_12_42_PM_8.jpg,1.568,2026-04-08T16:59:54.217726Z
52,1,Forward,2026-04-08T16:59:57.535003Z,52,/data/upload/1/4090623a-Photo_Mar_25_2026_1_12_42_PM_9.jpg,1.531,2026-04-08T16:59:57.535003Z
53,1,Forward,2026-04-08T17:00:00.520553Z,53,/data/upload/1/5a2b42d3-Photo_Mar_25_2026_1_12_42_PM.jpg,1.942,2026-04-08T17:00:00.520553Z
54,1,Forward,2026-04-08T17:00:04.468031Z,54,/data/upload/1/6abf3412-Photo_Mar_25_2026_1_12_43_PM_1.jpg,1.935,2026-04-08T17:00:04.468031Z
55,1,Forward,2026-04-08T17:00:07.595694Z,55,/data/upload/1/596371a9-Photo_Mar_25_2026_1_12_43_PM_2.jpg,2.098,2026-04-08T17:00:07.595694Z
56,1,Forward,2026-04-08T17:00:58.935527Z,56,/data/upload/1/db0963f4-Photo_Mar_25_2026_1_12_43_PM_3.jpg,2.046,2026-04-08T17:00:58.935527Z
57,1,Forward,2026-04-08T17:01:08.377929Z,57,/data/upload/1/b9660bda-Photo_Mar_25_2026_1_12_43_PM_4.jpg,7.444,2026-04-08T17:01:08.377929Z
58,1,Forward,2026-04-08T17:01:20.523375Z,58,/data/upload/1/a23e4b91-Photo_Mar_25_2026_1_12_43_PM_5.jpg,2.357,2026-04-08T17:01:20.523375Z
59,1,Forward,2026-04-08T17:01:24.007131Z,59,/data/upload/1/4f93273f-Photo_Mar_25_2026_1_12_43_PM_6.jpg,1.561,2026-04-08T17:01:24.007131Z
60,1,Forward,2026-04-08T17:01:26.504694Z,60,/data/upload/1/cc9346c4-Photo_Mar_25_2026_1_12_43_PM_7.jpg,1.013,2026-04-08T17:01:26.509916Z
61,1,Forward,2026-04-08T17:01:28.716642Z,61,/data/upload/1/0d54c3ef-Photo_Mar_25_2026_1_12_43_PM_8.jpg,1.043,2026-04-08T17:01:28.716642Z
62,1,Forward,2026-04-08T17:01:30.710565Z,62,/data/upload/1/e4c5b287-Photo_Mar_25_2026_1_12_41_PM_5.jpg,0.858,2026-04-08T17:01:30.710565Z
63,1,Forward,2026-04-08T17:01:32.745572Z,63,/data/upload/1/7c1ad96a-Photo_Mar_25_2026_1_12_41_PM_6.jpg,0.995,2026-04-08T17:01:32.745572Z
64,1,Forward,2026-04-08T17:01:36.212946Z,64,/data/upload/1/e5596532-Photo_Mar_25_2026_1_12_41_PM_7.jpg,0.794,2026-04-08T17:01:36.212946Z
65,1,Forward,2026-04-08T17:01:39.201872Z,65,/data/upload/1/4207507c-Photo_Mar_25_2026_1_12_41_PM_8.jpg,1.787,2026-04-08T17:01:39.201872Z
66,1,Forward,2026-04-08T17:01:43.024588Z,66,/data/upload/1/c2d579f8-Photo_Mar_25_2026_1_12_41_PM_9.jpg,0.841,2026-04-08T17:01:43.024588Z
67,1,Forward,2026-04-08T17:01:45.564824Z,67,/data/upload/1/762c9666-Photo_Mar_25_2026_1_12_41_PM.jpg,1.142,2026-04-08T17:01:45.564824Z
68,1,Forward,2026-04-08T17:01:48.016301Z,68,/data/upload/1/30308325-Photo_Mar_25_2026_1_12_42_PM_1.jpg,1.136,2026-04-08T17:01:48.016301Z
69,1,Forward,2026-04-08T17:01:50.056108Z,69,/data/upload/1/4df7f438-Photo_Mar_25_2026_1_12_42_PM_2.jpg,0.818,2026-04-08T17:01:50.056108Z
70,1,Forward,2026-04-08T17:01:52.109212Z,70,/data/upload/1/63f6ffa9-Photo_Mar_25_2026_1_12_42_PM_3.jpg,0.925,2026-04-08T17:01:52.109212Z
71,1,Forward,2026-04-08T17:01:53.873320Z,71,/data/upload/1/1d8e4dab-Photo_Mar_25_2026_1_12_42_PM_4.jpg,0.843,2026-04-08T17:01:53.873320Z
72,1,Forward,2026-04-08T17:01:57.516463Z,72,/data/upload/1/dc5615f4-Photo_Mar_25_2026_1_12_42_PM_5.jpg,0.772,2026-04-08T17:01:57.516463Z
73,1,Forward,2026-04-08T17:02:00.594777Z,73,/data/upload/1/e7ce0feb-Photo_Mar_25_2026_1_12_45_PM_2.jpg,1.293,2026-04-08T17:02:00.594777Z
74,1,Forward,2026-04-08T17:02:02.607088Z,74,/data/upload/1/5cd3e8f7-Photo_Mar_25_2026_1_12_45_PM_3.jpg,0.68,2026-04-08T17:02:02.607088Z
75,1,Forward,2026-04-08T17:02:04.546600Z,75,/data/upload/1/ecc1f278-Photo_Mar_25_2026_1_12_45_PM_4.jpg,0.845,2026-04-08T17:02:04.546600Z
76,1,Forward,2026-04-08T17:02:06.839884Z,76,/data/upload/1/4202b62f-Photo_Mar_25_2026_1_12_45_PM_5.jpg,0.931,2026-04-08T17:02:06.839884Z
77,1,Forward,2026-04-08T17:02:08.894714Z,77,/data/upload/1/4827b930-Photo_Mar_25_2026_1_12_45_PM_6.jpg,0.964,2026-04-08T17:02:08.894714Z
78,1,Forward,2026-04-08T17:02:10.855520Z,78,/data/upload/1/721b1f2c-Photo_Mar_25_2026_1_12_45_PM_7.jpg,0.921,2026-04-08T17:02:10.855520Z
79,1,Forward,2026-04-08T17:02:12.917390Z,79,/data/upload/1/c193ed81-Photo_Mar_25_2026_1_12_45_PM_8.jpg,0.998,2026-04-08T17:02:12.917390Z
80,1,Forward,2026-04-08T17:02:14.860380Z,80,/data/upload/1/09ce35c3-Photo_Mar_25_2026_1_12_45_PM_9.jpg,0.899,2026-04-08T17:02:14.860380Z
81,1,Forward,2026-04-08T17:02:20.307235Z,81,/data/upload/1/85c2eded-Photo_Mar_25_2026_1_12_45_PM.jpg,2.216,2026-04-08T17:02:20.307235Z
82,1,Forward,2026-04-08T17:02:23.038697Z,82,/data/upload/1/b781be25-Photo_Mar_25_2026_1_12_46_PM_1.jpg,1.684,2026-04-08T17:02:23.038697Z
83,1,Forward,2026-04-08T17:02:25.092298Z,83,/data/upload/1/faea148c-Photo_Mar_25_2026_1_12_46_PM_2.jpg,0.877,2026-04-08T17:02:25.092298Z
84,1,Forward,2026-04-08T17:02:30.190967Z,84,/data/upload/1/92a92a9d-Photo_Mar_25_2026_1_12_43_PM_9.jpg,1.927,2026-04-08T17:02:30.190967Z
85,1,Forward,2026-04-08T17:02:33.552137Z,85,/data/upload/1/ae44263f-Photo_Mar_25_2026_1_12_43_PM.jpg,1.019,2026-04-08T17:02:33.552137Z
86,1,Forward,2026-04-08T17:02:36.642566Z,86,/data/upload/1/93aba974-Photo_Mar_25_2026_1_12_44_PM_1.jpg,1.745,2026-04-08T17:02:36.642566Z
87,1,Forward,2026-04-08T17:02:45.812558Z,87,/data/upload/1/050b8e24-Photo_Mar_25_2026_1_12_44_PM_2.jpg,3.89,2026-04-08T17:02:45.812558Z
88,1,Forward,2026-04-08T17:02:48.212624Z,88,/data/upload/1/5f2da658-Photo_Mar_25_2026_1_12_44_PM_3.jpg,2.027,2026-04-08T17:02:48.212624Z
89,1,Forward,2026-04-08T17:02:50.085027Z,89,/data/upload/1/ffa0afb6-Photo_Mar_25_2026_1_12_44_PM_4.jpg,1.469,2026-04-08T17:02:50.085027Z
90,1,Forward,2026-04-08T17:02:51.686525Z,90,/data/upload/1/77bfee5c-Photo_Mar_25_2026_1_12_44_PM_5.jpg,1.243,2026-04-08T17:02:51.686525Z
91,1,Forward,2026-04-08T17:02:54.120636Z,91,/data/upload/1/498b0aa7-Photo_Mar_25_2026_1_12_44_PM_6.jpg,2.069,2026-04-08T17:02:54.121197Z
92,1,Forward,2026-04-08T17:02:55.575721Z,92,/data/upload/1/db14fa78-Photo_Mar_25_2026_1_12_44_PM_7.jpg,1.023,2026-04-08T17:02:55.575721Z
93,1,Forward,2026-04-08T17:03:04.637495Z,93,/data/upload/1/4d5dde87-Photo_Mar_25_2026_1_12_44_PM_8.jpg,8.677,2026-04-08T17:03:04.637495Z
94,1,Forward,2026-04-08T17:03:06.331036Z,94,/data/upload/1/04c2f31f-Photo_Mar_25_2026_1_12_44_PM_9.jpg,1.339,2026-04-08T17:03:06.331036Z
95,1,Forward,2026-04-08T17:03:08.266998Z,95,/data/upload/1/99412f27-Photo_Mar_25_2026_1_12_44_PM.jpg,1.541,2026-04-08T17:03:08.266998Z
96,1,Forward,2026-04-08T17:03:16.344949Z,96,/data/upload/1/cac0fbb9-Photo_Mar_25_2026_1_12_45_PM_1.jpg,1.752,2026-04-08T17:03:16.344949Z
97,1,Forward,2026-04-08T17:03:19.290660Z,97,/data/upload/1/99af576b-Photo_Mar_25_2026_1_12_48_PM_5.jpg,2.558,2026-04-08T17:03:19.290660Z
98,1,Forward,2026-04-08T17:03:21.514886Z,98,/data/upload/1/755a8e2e-Photo_Mar_25_2026_1_12_48_PM_6.jpg,1.823,2026-04-08T17:03:21.514886Z
99,1,Forward,2026-04-08T17:03:23.121235Z,99,/data/upload/1/f0c09bd1-Photo_Mar_25_2026_1_12_46_PM_3.jpg,1.275,2026-04-08T17:03:23.121235Z
100,1,Forward,2026-04-08T17:03:24.759147Z,100,/data/upload/1/7db81de9-Photo_Mar_25_2026_1_12_46_PM_4.jpg,1.274,2026-04-08T17:03:24.759147Z
101,1,Forward,2026-04-08T17:03:26.224655Z,101,/data/upload/1/7d5e03e9-Photo_Mar_25_2026_1_12_46_PM_5.jpg,1.08,2026-04-08T17:03:26.224655Z
102,1,Forward,2026-04-08T17:03:28.146016Z,102,/data/upload/1/70a49d82-Photo_Mar_25_2026_1_12_46_PM_6.jpg,1.537,2026-04-08T17:03:28.146016Z
103,1,Forward,2026-04-08T17:03:29.702911Z,103,/data/upload/1/cafa3a65-Photo_Mar_25_2026_1_12_46_PM_7.jpg,1.166,2026-04-08T17:03:29.702911Z
104,1,Forward,2026-04-08T17:03:31.207729Z,104,/data/upload/1/b19bce01-Photo_Mar_25_2026_1_12_46_PM_8.jpg,1.143,2026-04-08T17:03:31.207729Z
105,1,Forward,2026-04-08T17:03:32.697466Z,105,/data/upload/1/609902ba-Photo_Mar_25_2026_1_12_46_PM_9.jpg,1.127,2026-04-08T17:03:32.697466Z
106,1,Forward,2026-04-08T17:03:34.245365Z,106,/data/upload/1/96242e54-Photo_Mar_25_2026_1_12_46_PM.jpg,1.129,2026-04-08T17:03:34.245365Z
107,1,Forward,2026-04-08T17:03:35.665982Z,107,/data/upload/1/0e0509dd-Photo_Mar_25_2026_1_12_47_PM_1.jpg,1.051,2026-04-08T17:03:35.665982Z
108,1,Forward,2026-04-08T17:03:37.308813Z,108,/data/upload/1/9d14d2c1-Photo_Mar_25_2026_1_12_47_PM_2.jpg,1.29,2026-04-08T17:03:37.308813Z
109,1,Forward,2026-04-08T17:03:38.733259Z,109,/data/upload/1/839c85c8-Photo_Mar_25_2026_1_12_47_PM_3.jpg,1.023,2026-04-08T17:03:38.733259Z
110,1,Forward,2026-04-08T17:03:40.181456Z,110,/data/upload/1/637d1c30-Photo_Mar_25_2026_1_12_47_PM_4.jpg,1.05,2026-04-08T17:03:40.181456Z
111,1,Forward,2026-04-08T17:03:41.641496Z,111,/data/upload/1/21763844-Photo_Mar_25_2026_1_12_47_PM_5.jpg,1.029,2026-04-08T17:03:41.641496Z
112,1,Forward,2026-04-08T17:03:43.092025Z,112,/data/upload/1/1e14d32b-Photo_Mar_25_2026_1_12_47_PM_6.jpg,1.102,2026-04-08T17:03:43.092025Z
113,1,Forward,2026-04-08T17:03:44.587555Z,113,/data/upload/1/10e83131-Photo_Mar_25_2026_1_12_47_PM_7.jpg,1.14,2026-04-08T17:03:44.587555Z
114,1,Forward,2026-04-08T17:03:46.158037Z,114,/data/upload/1/a44eb4e8-Photo_Mar_25_2026_1_12_47_PM_8.jpg,1.173,2026-04-08T17:03:46.158037Z
115,1,Forward,2026-04-08T17:03:47.642368Z,115,/data/upload/1/492cb458-Photo_Mar_25_2026_1_12_47_PM_9.jpg,1.126,2026-04-08T17:03:47.642368Z
116,1,Forward,2026-04-08T17:03:49.224183Z,116,/data/upload/1/c6cd23a7-Photo_Mar_25_2026_1_12_47_PM.jpg,1.214,2026-04-08T17:03:49.224183Z
117,1,Forward,2026-04-08T17:03:50.769596Z,117,/data/upload/1/0ab70f08-Photo_Mar_25_2026_1_12_48_PM_1.jpg,1.179,2026-04-08T17:03:50.769596Z
118,1,Forward,2026-04-08T17:03:52.274084Z,118,/data/upload/1/65b97731-Photo_Mar_25_2026_1_12_48_PM_2.jpg,1.074,2026-04-08T17:03:52.274084Z
119,1,Forward,2026-04-08T17:03:53.727579Z,119,/data/upload/1/36b97ba9-Photo_Mar_25_2026_1_12_48_PM_3.jpg,1.031,2026-04-08T17:03:53.727579Z
120,1,Forward,2026-04-08T17:03:55.139316Z,120,/data/upload/1/40b0cad8-Photo_Mar_25_2026_1_12_48_PM_4.jpg,1.051,2026-04-08T17:03:55.139316Z
121,1,Forward,2026-04-08T17:04:16.921763Z,121,/data/upload/1/e54cf975-Photo_Mar_25_2026_1_12_50_PM.jpg,6.643000000000001,2026-04-08T17:04:16.921763Z
122,1,Forward,2026-04-08T17:04:18.405720Z,122,/data/upload/1/21fb04e8-Photo_Mar_25_2026_1_12_48_PM_7.jpg,1.052,2026-04-08T17:04:18.405720Z
123,1,Forward,2026-04-08T17:04:19.775822Z,123,/data/upload/1/acd018f2-Photo_Mar_25_2026_1_12_48_PM_8.jpg,0.991,2026-04-08T17:04:19.775822Z
124,1,Forward,2026-04-08T17:04:21.181833Z,124,/data/upload/1/e09949cf-Photo_Mar_25_2026_1_12_48_PM_9.jpg,0.997,2026-04-08T17:04:21.181833Z
125,1,Forward,2026-04-08T17:04:22.635998Z,125,/data/upload/1/7605b041-Photo_Mar_25_2026_1_12_48_PM.jpg,1.093,2026-04-08T17:04:22.635998Z
126,1,Forward,2026-04-08T17:04:24.109515Z,126,/data/upload/1/87c64146-Photo_Mar_25_2026_1_12_49_PM_1.jpg,1.056,2026-04-08T17:04:24.109515Z
127,1,Forward,2026-04-08T17:04:25.460203Z,127,/data/upload/1/3be5afed-Photo_Mar_25_2026_1_12_49_PM_2.jpg,1.017,2026-04-08T17:04:25.460203Z
128,1,Forward,2026-04-08T17:04:26.878425Z,128,/data/upload/1/33303524-Photo_Mar_25_2026_1_12_49_PM_3.jpg,0.999,2026-04-08T17:04:26.878425Z
129,1,Forward,2026-04-08T17:04:28.292877Z,129,/data/upload/1/2e8def77-Photo_Mar_25_2026_1_12_49_PM_4.jpg,1.028,2026-04-08T17:04:28.292877Z
130,1,Forward,2026-04-08T17:04:29.690625Z,130,/data/upload/1/6b3d9ddb-Photo_Mar_25_2026_1_12_49_PM_5.jpg,0.987,2026-04-08T17:04:29.690625Z
131,1,Forward,2026-04-08T17:04:31.150612Z,131,/data/upload/1/6b3980d4-Photo_Mar_25_2026_1_12_49_PM_6.jpg,0.989,2026-04-08T17:04:31.150612Z
132,1,Forward,2026-04-08T17:04:32.573809Z,132,/data/upload/1/e245bb17-Photo_Mar_25_2026_1_12_49_PM_7.jpg,0.982,2026-04-08T17:04:32.573809Z
133,1,Forward,2026-04-08T17:04:33.956916Z,133,/data/upload/1/a9eea3a4-Photo_Mar_25_2026_1_12_49_PM_8.jpg,0.982,2026-04-08T17:04:33.956916Z
134,1,Forward,2026-04-08T17:04:35.769221Z,134,/data/upload/1/8ac70604-Photo_Mar_25_2026_1_12_49_PM_9.jpg,1.342,2026-04-08T17:04:35.769221Z
135,1,Forward,2026-04-08T17:04:37.363741Z,135,/data/upload/1/1e6c8bd3-Photo_Mar_25_2026_1_12_49_PM.jpg,1.141,2026-04-08T17:04:37.363741Z
136,1,Forward,2026-04-08T17:04:38.878003Z,136,/data/upload/1/ace75239-Photo_Mar_25_2026_1_12_50_PM_1.jpg,1.124,2026-04-08T17:04:38.878003Z
137,1,Forward,2026-04-08T17:04:40.435701Z,137,/data/upload/1/f98246f8-Photo_Mar_25_2026_1_12_50_PM_2.jpg,1.101,2026-04-08T17:04:40.435701Z
138,1,Forward,2026-04-08T17:04:41.896720Z,138,/data/upload/1/0491a30d-Photo_Mar_25_2026_1_12_50_PM_3.jpg,1.079,2026-04-08T17:04:41.896720Z
139,1,Forward,2026-04-08T17:04:43.423296Z,139,/data/upload/1/5bf0072f-Photo_Mar_25_2026_1_12_50_PM_4.jpg,1.193,2026-04-08T17:04:43.423296Z
140,1,Forward,2026-04-08T17:04:44.866015Z,140,/data/upload/1/235c16d1-Photo_Mar_25_2026_1_12_50_PM_5.jpg,1.033,2026-04-08T17:04:44.866015Z
141,1,Forward,2026-04-08T17:04:46.320731Z,141,/data/upload/1/8f4579b7-Photo_Mar_25_2026_1_12_50_PM_6.jpg,1.024,2026-04-08T17:04:46.320731Z
142,1,Forward,2026-04-08T17:04:47.770664Z,142,/data/upload/1/a6e4e799-Photo_Mar_25_2026_1_12_50_PM_7.jpg,1.041,2026-04-08T17:04:47.770664Z
143,1,Forward,2026-04-08T17:04:49.187647Z,143,/data/upload/1/c3909c56-Photo_Mar_25_2026_1_12_50_PM_8.jpg,1.035,2026-04-08T17:04:49.187647Z
144,1,Forward,2026-04-08T17:04:50.606541Z,144,/data/upload/1/63f11107-Photo_Mar_25_2026_1_12_50_PM_9.jpg,1.062,2026-04-08T17:04:50.606541Z
145,1,Forward,2026-04-08T17:04:52.073142Z,145,/data/upload/1/7b0eba71-Photo_Mar_25_2026_1_12_52_PM_2.jpg,1.13,2026-04-08T17:04:52.073142Z
146,1,Forward,2026-04-08T17:04:53.460518Z,146,/data/upload/1/1b222d63-Photo_Mar_25_2026_1_12_52_PM_3.jpg,1.002,2026-04-08T17:04:53.460518Z
147,1,Forward,2026-04-08T17:04:55.060019Z,147,/data/upload/1/f20fd6bd-Photo_Mar_25_2026_1_12_52_PM_4.jpg,1.228,2026-04-08T17:04:55.060019Z
148,1,Forward,2026-04-08T17:04:57.715387Z,148,/data/upload/1/d9f35fba-Photo_Mar_25_2026_1_12_52_PM_5.jpg,3.885,2026-04-08T17:05:04.896467Z
149,1,Forward,2026-04-08T17:05:11.379933Z,149,/data/upload/1/5f50d2c6-Photo_Mar_25_2026_1_12_52_PM_6.jpg,3.685,2026-04-08T17:05:11.379933Z
150,1,Forward,2026-04-08T17:05:12.944441Z,150,/data/upload/1/12459cc8-Photo_Mar_25_2026_1_12_52_PM_7.jpg,1.19,2026-04-08T17:05:12.944441Z
